policy,replication,readmission_rate,absolute_reduction,intervention_count
feature_only,63,0.10961968680089486,0.012117822520507082,1073
risk_only,63,0.10961968680089486,0.012117822520507082,1073
network_only,63,0.12052572706935123,0.0012117822520507082,1073
risk_network,63,0.11139075316927666,0.010346756152125283,1073
random,64,0.11922073079791201,0.0032624906785980595,1073
feature_only,64,0.11055182699478001,0.011931394481730057,1073
risk_only,64,0.11055182699478001,0.011931394481730057,1073
network_only,64,0.12127143922445936,0.0012117822520507082,1073
risk_network,64,0.11213646532438479,0.010346756152125283,1073
random,65,0.12332214765100671,0.0027032065622669688,1073
feature_only,65,0.11297539149888143,0.013049962714392252,1073
risk_only,65,0.11297539149888143,0.013049962714392252,1073
network_only,65,0.12434750186428038,0.0016778523489933,1073
risk_network,65,0.11549217002237136,0.010533184190902323,1073
random,66,0.12183072334079045,0.0023303504847129036,1073
feature_only,66,0.11167039522744221,0.012490678598061147,1073
risk_only,66,0.11167039522744221,0.012490678598061147,1073
network_only,66,0.122110365398956,0.0020507084265473513,1073
risk_network,66,0.11260253542132737,0.011558538404175991,1073
random,67,0.11726323639075317,0.002237136465324377,1073
feature_only,67,0.10719612229679344,0.012304250559284108,1073
risk_only,67,0.10719612229679344,0.012304250559284108,1073
network_only,67,0.1180089485458613,0.0014914243102162467,1073
risk_network,67,0.10784862043251305,0.011651752423564504,1073
random,68,0.1185682326621924,0.0019574944071588385,1073
feature_only,68,0.10728933631618195,0.013236390753169278,1073
risk_only,68,0.10728933631618195,0.013236390753169278,1073
network_only,68,0.11894108873974646,0.0015846383296047734,1073
risk_network,68,0.10850111856823266,0.01202460850111857,1073
random,69,0.12052572706935123,0.0032624906785980595,1073
feature_only,69,0.11092468307233408,0.012863534675615212,1073
risk_only,69,0.11092468307233408,0.012863534675615212,1073
network_only,69,0.12192393736017897,0.0018642803877703257,1073
risk_network,69,0.11195003728560776,0.01183818046234153,1073
random,70,0.122110365398956,0.002237136465324377,1073
feature_only,70,0.1127889634601044,0.011558538404175978,1073
risk_only,70,0.1127889634601044,0.011558538404175978,1073
network_only,70,0.12378821774794929,0.0005592841163310908,1073
risk_network,70,0.11428038777032065,0.010067114093959731,1073
random,71,0.1186614466815809,0.0017710663683818129,1073
feature_only,71,0.10868754660700969,0.011744966442953031,1073
risk_only,71,0.10868754660700969,0.011744966442953031,1073
network_only,71,0.11847501864280388,0.0019574944071588385,1073
risk_network,71,0.10906040268456375,0.011372110365398966,1073
random,72,0.12294929157345265,0.0018642803877703257,1073
feature_only,72,0.11148396718866517,0.013329604772557804,1073
risk_only,72,0.11148396718866517,0.013329604772557804,1073
network_only,72,0.12332214765100671,0.0014914243102162605,1073
risk_network,72,0.11297539149888143,0.011838180462341544,1073
random,73,0.12117822520507084,0.002516778523489943,1073
feature_only,73,0.11260253542132737,0.011092468307233413,1073
risk_only,73,0.11260253542132737,0.011092468307233413,1073
network_only,73,0.12183072334079045,0.0018642803877703257,1073
risk_network,73,0.11344146159582401,0.01025354213273677,1073
random,74,0.12378821774794929,0.0017710663683818129,1073
feature_only,74,0.11269574944071588,0.012863534675615226,1073
risk_only,74,0.11269574944071588,0.012863534675615226,1073
network_only,74,0.12369500372856078,0.0018642803877703257,1073
risk_network,74,0.11325503355704698,0.012304250559284122,1073
random,75,0.12360178970917227,0.002609992542878442,1073
feature_only,75,0.1145600298284862,0.011651752423564504,1073
risk_only,75,0.1145600298284862,0.011651752423564504,1073
network_only,75,0.12397464578672632,0.002237136465324391,1073
risk_network,75,0.11651752423564504,0.009694258016405666,1073
random,76,0.1238814317673378,0.003076062639821034,1073
feature_only,76,0.11474645786726323,0.012211036539895609,1073
risk_only,76,0.11474645786726323,0.012211036539895609,1073
network_only,76,0.1256524981357196,0.001304996271439235,1073
risk_network,76,0.11670395227442207,0.01025354213273677,1073
random,77,0.12117822520507084,0.0018642803877703257,1073
feature_only,77,0.1111111111111111,0.011931394481730057,1073
risk_only,77,0.1111111111111111,0.011931394481730057,1073
network_only,77,0.12117822520507084,0.0018642803877703257,1073
risk_network,77,0.11250932140193885,0.010533184190902309,1073
random,78,0.12201715137956749,0.002609992542878442,1073
feature_only,78,0.11139075316927666,0.013236390753169278,1073
risk_only,78,0.11139075316927666,0.013236390753169278,1073
network_only,78,0.1226696495152871,0.0019574944071588385,1073
risk_network,78,0.11306860551826994,0.011558538404175991,1073
random,79,0.116331096196868,0.0027964205816554816,1073
feature_only,79,0.10691648023862789,0.012211036539895595,1073
risk_only,79,0.10691648023862789,0.012211036539895595,1073
network_only,79,0.11754287844891871,0.0015846383296047734,1073
risk_network,79,0.10831469052945562,0.010812826249067861,1073
random,80,0.12136465324384788,0.0023303504847129036,1073
feature_only,80,0.11064504101416853,0.013049962714392252,1073
risk_only,80,0.11064504101416853,0.013049962714392252,1073
network_only,80,0.12220357941834452,0.0014914243102162605,1073
risk_network,80,0.11316181953765847,0.010533184190902309,1073
