seed,replication,policy,readmission_rate,absolute_reduction,intervention_count
123,23,network_only,0.12061894108873975,0.0013982102908277477,1073
123,23,risk_network,0.11083146905294557,0.011185682326621926,1073
123,24,random,0.12117822520507084,0.002143922445935878,1073
123,24,risk_only,0.1104586129753915,0.012863534675615212,1073
123,24,network_only,0.12136465324384788,0.0019574944071588385,1073
123,24,risk_network,0.11213646532438479,0.011185682326621926,1073
123,25,random,0.12341536167039523,0.0023303504847129036,1073
123,25,risk_only,0.11353467561521252,0.012211036539895609,1073
123,25,network_only,0.12369500372856078,0.0020507084265473513,1073
123,25,risk_network,0.1151193139448173,0.010626398210290836,1073
123,26,random,0.12472035794183445,0.002982848620432521,1073
123,26,risk_only,0.11521252796420582,0.012490678598061147,1073
123,26,network_only,0.12593214019388516,0.0017710663683818129,1073
123,26,risk_network,0.1167971662938106,0.010906040268456374,1073
123,27,random,0.12239000745712156,0.002609992542878442,1073
123,27,risk_only,0.11306860551826994,0.011931394481730057,1073
123,27,network_only,0.1232289336316182,0.001771066368381799,1073
123,27,risk_network,0.1145600298284862,0.010439970171513796,1073
123,28,random,0.12024608501118568,0.0014914243102162605,1073
123,28,risk_only,0.11064504101416853,0.011092468307233413,1073
123,28,network_only,0.12024608501118568,0.0014914243102162605,1073
123,28,risk_network,0.11232289336316181,0.009414615958240127,1073
123,29,random,0.12024608501118568,0.0024235645041014164,1073
123,29,risk_only,0.10906040268456375,0.013609246830723343,1073
123,29,network_only,0.12061894108873975,0.0020507084265473513,1073
123,29,risk_network,0.11083146905294557,0.01183818046234153,1073
2026,0,random,0.11726323639075317,0.0020507084265473513,1073
2026,0,risk_only,0.10673005219985086,0.01258389261744966,1073
2026,0,network_only,0.1180089485458613,0.001304996271439221,1073
2026,0,risk_network,0.10850111856823266,0.010812826249067861,1073
2026,1,random,0.12061894108873975,0.0025167785234899293,1073
2026,1,risk_only,0.11083146905294557,0.012304250559284108,1073
2026,1,network_only,0.12145786726323639,0.0016778523489932862,1073
2026,1,risk_network,0.11288217747949292,0.010253542132736757,1073
2026,2,random,0.12472035794183445,0.002982848620432521,1073
2026,2,risk_only,0.11428038777032065,0.013422818791946317,1073
2026,2,network_only,0.12639821029082773,0.001304996271439235,1073
2026,2,risk_network,0.11642431021625653,0.011278896346010439,1073
2026,3,random,0.12649142431021626,0.0018642803877703118,1073
2026,3,risk_only,0.11502609992542878,0.01332960477255779,1073
2026,3,network_only,0.12639821029082773,0.0019574944071588385,1073
2026,3,risk_network,0.11642431021625653,0.011931394481730043,1073
2026,4,random,0.12061894108873975,0.002237136465324391,1073
2026,4,risk_only,0.11092468307233408,0.011931394481730057,1073
2026,4,network_only,0.12043251304996272,0.0024235645041014164,1073
2026,4,risk_network,0.1122296793437733,0.010626398210290836,1073
2026,5,random,0.11912751677852348,0.0023303504847129036,1073
