policy,replication,n_patients,intervention_count,readmissions,readmission_rate,mean_transition_probability,no_intervention_readmissions,no_intervention_rate,prevented_vs_no_intervention,absolute_reduction,relative_reduction,intervention_efficiency
network_informed,25,10728,1073,1228,0.11446681580909769,0.11241783754658474,1356,0.12639821029082773,128,0.011931394481730043,0.09439528023598813,0.11929170549860205
no_intervention,26,10728,0,1289,0.12015287099179717,0.12342287122431879,1289,0.12015287099179717,0,0.0,0.0,
random,26,10728,1073,1267,0.11810216256524982,0.12077457846299453,1289,0.12015287099179717,22,0.0020507084265473513,0.017067494181536063,0.02050326188257223
risk_based,26,10728,1073,1174,0.10943325876211782,0.11077668193383391,1289,0.12015287099179717,115,0.010719612229679348,0.08921644685802951,0.10717614165890028
network_informed,26,10728,1073,1179,0.1098993288590604,0.11241783754658474,1289,0.12015287099179717,110,0.01025354213273677,0.08533747090768043,0.10251630941286113
no_intervention,27,10728,0,1313,0.12239000745712156,0.12342287122431879,1313,0.12239000745712156,0,0.0,0.0,
random,27,10728,1073,1284,0.11968680089485459,0.12078582431259727,1313,0.12239000745712156,29,0.0027032065622669688,0.022086824067022115,0.02702702702702703
risk_based,27,10728,1073,1174,0.10943325876211782,0.11077668193383391,1313,0.12239000745712156,139,0.01295674869500374,0.10586443259710594,0.12954333643988816
network_informed,27,10728,1073,1195,0.11139075316927666,0.11241783754658474,1313,0.12239000745712156,118,0.0109992542878449,0.08987052551408994,0.10997204100652376
no_intervention,28,10728,0,1300,0.12117822520507084,0.12342287122431879,1300,0.12117822520507084,0,0.0,0.0,
random,28,10728,1073,1280,0.11931394481730052,0.12101838863388063,1300,0.12117822520507084,20,0.0018642803877703118,0.015384615384615313,0.01863932898415657
risk_based,28,10728,1073,1163,0.10840790454884415,0.11077668193383391,1300,0.12117822520507084,137,0.012770320656226686,0.1053846153846153,0.1276794035414725
network_informed,28,10728,1073,1187,0.11064504101416853,0.11241783754658474,1300,0.12117822520507084,113,0.010533184190902309,0.08692307692307691,0.10531220876048462
no_intervention,29,10728,0,1327,0.12369500372856078,0.12342287122431879,1327,0.12369500372856078,0,0.0,0.0,
random,29,10728,1073,1304,0.1215510812826249,0.12113275301424742,1327,0.12369500372856078,23,0.002143922445935878,0.017332328560663225,0.021435228331780055
risk_based,29,10728,1073,1197,0.1115771812080537,0.11077668193383391,1327,0.12369500372856078,130,0.012117822520507082,0.09796533534287866,0.1211556383970177
network_informed,29,10728,1073,1200,0.11185682326621924,0.11241783754658474,1327,0.12369500372856078,127,0.011838180462341544,0.09570459683496614,0.11835973904939422
no_intervention,30,10728,0,1312,0.12229679343773303,0.12342287122431879,1312,0.12229679343773303,0,0.0,0.0,
random,30,10728,1073,1289,0.12015287099179717,0.12099020729480163,1312,0.12229679343773303,23,0.002143922445935864,0.017530487804878012,0.021435228331780055
risk_based,30,10728,1073,1192,0.1111111111111111,0.11077668193383391,1312,0.12229679343773303,120,0.011185682326621926,0.09146341463414637,0.11183597390493942
network_informed,30,10728,1073,1209,0.11269574944071588,0.11241783754658474,1312,0.12229679343773303,103,0.009601043997017153,0.07850609756097562,0.09599254426840634
no_intervention,31,10728,0,1332,0.12416107382550336,0.12342287122431879,1332,0.12416107382550336,0,0.0,0.0,
random,31,10728,1073,1318,0.12285607755406414,0.12092172202751965,1332,0.12416107382550336,14,0.001304996271439221,0.010510510510510484,0.0130475302889096
risk_based,31,10728,1073,1202,0.11204325130499627,0.11077668193383391,1332,0.12416107382550336,130,0.012117822520507082,0.09759759759759758,0.1211556383970177
network_informed,31,10728,1073,1214,0.11316181953765847,0.11241783754658474,1332,0.12416107382550336,118,0.010999254287844887,0.08858858858858855,0.10997204100652376
no_intervention,32,10728,0,1299,0.12108501118568232,0.12342287122431879,1299,0.12108501118568232,0,0.0,0.0,
random,32,10728,1073,1266,0.1180089485458613,0.12086875661150433,1299,0.12108501118568232,33,0.00307606263982102,0.025404157043879834,0.03075489282385834
risk_based,32,10728,1073,1165,0.10859433258762118,0.11077668193383391,1299,0.12108501118568232,134,0.012490678598061147,0.1031562740569669,0.12488350419384903
network_informed,32,10728,1073,1180,0.10999254287844892,0.11241783754658474,1299,0.12108501118568232,119,0.0110924683072334,0.09160892994611233,0.11090400745573159
no_intervention,33,10728,0,1319,0.12294929157345265,0.12342287122431879,1319,0.12294929157345265,0,0.0,0.0,
random,33,10728,1073,1283,0.11959358687546608,0.120985389295211,1319,0.12294929157345265,36,0.0033557046979865723,0.027293404094010574,0.033550792171481825
risk_based,33,10728,1073,1188,0.11073825503355705,0.11077668193383391,1319,0.12294929157345265,131,0.012211036539895595,0.09931766489764969,0.12208760484622554
network_informed,33,10728,1073,1201,0.11195003728560776,0.11241783754658474,1319,0.12294929157345265,118,0.010999254287844887,0.08946171341925697,0.10997204100652376
no_intervention,34,10728,0,1276,0.11894108873974646,0.12342287122431879,1276,0.11894108873974646,0,0.0,0.0,
random,34,10728,1073,1243,0.11586502609992543,0.12115249185893058,1276,0.11894108873974646,33,0.003076062639821034,0.025862068965517283,0.03075489282385834
risk_based,34,10728,1073,1151,0.10728933631618195,0.11077668193383391,1276,0.11894108873974646,125,0.011651752423564504,0.09796238244514106,0.11649580615097857
network_informed,34,10728,1073,1157,0.10784862043251305,0.11241783754658474,1276,0.11894108873974646,119,0.011092468307233413,0.09326018808777434,0.11090400745573159
no_intervention,35,10728,0,1315,0.12257643549589858,0.12342287122431879,1315,0.12257643549589858,0,0.0,0.0,
random,35,10728,1073,1291,0.12033929903057419,0.12086332561564472,1315,0.12257643549589858,24,0.002237136465324391,0.018250950570342254,0.022367194780987885
risk_based,35,10728,1073,1191,0.11101789709172259,0.11077668193383391,1315,0.12257643549589858,124,0.011558538404175991,0.09429657794676809,0.11556383970177074
network_informed,35,10728,1073,1204,0.1122296793437733,0.11241783754658474,1315,0.12257643549589858,111,0.010346756152125283,0.08441064638783273,0.10344827586206896
no_intervention,36,10728,0,1344,0.12527964205816555,0.12342287122431879,1344,0.12527964205816555,0,0.0,0.0,
random,36,10728,1073,1316,0.1226696495152871,0.12112952140972974,1344,0.12527964205816555,28,0.002609992542878456,0.020833333333333388,0.0260950605778192
risk_based,36,10728,1073,1191,0.11101789709172259,0.11077668193383391,1344,0.12527964205816555,153,0.01426174496644296,0.11383928571428577,0.14259086672879775
network_informed,36,10728,1073,1217,0.11344146159582401,0.11241783754658474,1344,0.12527964205816555,127,0.011838180462341544,0.09449404761904767,0.11835973904939422
no_intervention,37,10728,0,1307,0.12183072334079045,0.12342287122431879,1307,0.12183072334079045,0,0.0,0.0,
random,37,10728,1073,1280,0.11931394481730052,0.12112019065402892,1307,0.12183072334079045,27,0.0025167785234899293,0.020657995409334325,0.02516309412861137
risk_based,37,10728,1073,1172,0.1092468307233408,0.11077668193383391,1307,0.12183072334079045,135,0.01258389261744966,0.10328997704667173,0.12581547064305684
network_informed,37,10728,1073,1184,0.11036539895600299,0.11241783754658474,1307,0.12183072334079045,123,0.011465324384787465,0.09410864575363422,0.11463187325256291
no_intervention,38,10728,0,1304,0.1215510812826249,0.12342287122431879,1304,0.1215510812826249,0,0.0,0.0,
random,38,10728,1073,1278,0.11912751677852348,0.12096454744984741,1304,0.1215510812826249,26,0.0024235645041014164,0.019938650306748462,0.024231127679403542
risk_based,38,10728,1073,1171,0.10915361670395228,0.11077668193383391,1304,0.1215510812826249,133,0.01239746457867262,0.10199386503067476,0.1239515377446412
network_informed,38,10728,1073,1185,0.1104586129753915,0.11241783754658474,1304,0.1215510812826249,119,0.0110924683072334,0.09125766871165637,0.11090400745573159
no_intervention,39,10728,0,1300,0.12117822520507084,0.12342287122431879,1300,0.12117822520507084,0,0.0,0.0,
random,39,10728,1073,1276,0.11894108873974646,0.1210289260872598,1300,0.12117822520507084,24,0.002237136465324377,0.018461538461538397,0.022367194780987885
risk_based,39,10728,1073,1144,0.10663683818046234,0.11077668193383391,1300,0.12117822520507084,156,0.014541387024608499,0.11999999999999998,0.14538676607642126
network_informed,39,10728,1073,1179,0.1098993288590604,0.11241783754658474,1300,0.12117822520507084,121,0.011278896346010439,0.09307692307692307,0.11276794035414725
no_intervention,40,10728,0,1282,0.11950037285607755,0.12342287122431879,1282,0.11950037285607755,0,0.0,0.0,
random,40,10728,1073,1245,0.11605145413870246,0.12078039299594344,1282,0.11950037285607755,37,0.003448918717375085,0.028861154446177782,0.034482758620689655
risk_based,40,10728,1073,1143,0.10654362416107382,0.11077668193383391,1282,0.11950037285607755,139,0.012956748695003725,0.10842433697347892,0.12954333643988816
network_informed,40,10728,1073,1161,0.10822147651006711,0.11241783754658474,1282,0.11950037285607755,121,0.011278896346010439,0.09438377535101404,0.11276794035414725
no_intervention,41,10728,0,1306,0.12173750932140194,0.12342287122431879,1306,0.12173750932140194,0,0.0,0.0,
random,41,10728,1073,1284,0.11968680089485459,0.12097249704105283,1306,0.12173750932140194,22,0.0020507084265473513,0.01684532924961714,0.02050326188257223
